s;p;o
Len'sTape;provoc:belongsToBrand;BASF
Len'sTape;aes:physicalDataType;BASF metal reel
Len'sTape;rico:phisicallCharacteristics;"10"""
Len'sTape;rico:physicalCharacteristics;7  1/2 ips
Len'sTape;rico:Identifier;SK 1056B3257
Len'sTape;rico:physicalCharacteristics;White/White
Len'sTape;rico:physicalCharacteristics;Angled
Len'sTape;rico:physicalCharacteristics;full track
Len'sTape;dc:creator;The Beatles
Len'sTape;dcterms:description;Red BASF Tape box..
